시장,예측대상일,실전우선순위,실전최종판정,실전판정이유,상태,매수행동,매수금지,종목,판정,실시간현재가,실시간괴리,실시간판정,학습보정,학습요약,품질점수,재무,수급,품질요약,보정신뢰도,매매적합도,앙상블추정점수,성과보정,추천수량,주문예상금액,3분할계획,예상평단,평단손절위험,1R위험금액,매수단위근거,손익비,우선진입가,보수대기선,지지존,저항존,진입거리,전일대비진입,손절가,손절폭,1차익절가,익절거리,2차익절가,예상시초가,예상종가범위,주문검증,주문검증메모,진입근거,주의사유,금지사유,행동이유,symbol,ticker,code,종목코드,name,stock_name,종목명,market,현재가,last_price,current_price,관찰 기준가,active_scenario_pullback_price,조건부 진입가,매수가,entry,entry_price,buy_price,stop,stop_loss,1차 목표가,목표가,tp1,target_price,2차 목표가,tp2,rr,risk_reward,기대수익률,expected_return,수급점수,수급 점수,supply_score,flow_score,실적점수,실적 점수,earnings_score,밸류에이션점수,밸류에이션 점수,벨류에이션점수,valuation_score,차트점수,차트 점수,chart_score,실적상태,earnings_data_status,밸류상태,valuation_data_status,수급상태,flow_data_status,price_data_status
한국주식,2026-05-13,-46.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,HD한국조선해양,관망 우위,-,-,실시간 미적용,학습기록 부족,-,0,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 7.00% / 네이버 수급 데이터 확인 제한,0,16,6,성과보정 약함,4주,"1,856,748원","1차 464,187원 30% / 2차 440,978원 30% / 3차 471,150원 40%","460,009원",1.74%,"48,212원",투입금액 한도 기준,1.67,"464,187원","464,494원","457,729원 ~ 465,941원","484,358원 ~ 493,641원",-1.03%,-0.07%,"452,134원",+2.60%,"484,358원",+4.35%,"493,641원","469,006원","433,256원 ~ 517,474원",정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 3.3% 이내,대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(6점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(6점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",HD한국조선해양,HD한국조선해양,HD한국조선해양,HD한국조선해양,HD한국조선해양,HD한국조선해양,HD한국조선해양,미국주식,"396,824원","396,824원","396,824원",,,,,,,,"382,306원","382,306원","415,538원","415,538원","415,538원","415,538원",,,1:1.45,1:1.45,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.0,0.0,0.0,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-46.3,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,LG에너지솔루션,관망 우위,-,-,실시간 미적용,학습기록 부족,-,0,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 0.00% / 네이버 수급 데이터 확인 제한,0,7,0,성과보정 약함,4주,"1,693,428원","1차 423,357원 30% / 2차 402,189원 30% / 3차 429,707원 40%","419,547원",1.56%,"41,072원",투입금액 한도 기준,2.90,"423,357원","423,143원","416,464원 ~ 424,734원","453,142원 ~ 461,412원",-3.09%,-4.43%,"413,089원",+2.43%,"453,142원",+7.04%,"461,412원","436,842원","403,389원 ~ 458,965원",정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 3.1% 이내,대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-2.67%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-2.67%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",LG에너지솔루션,LG에너지솔루션,LG에너지솔루션,LG에너지솔루션,LG에너지솔루션,LG에너지솔루션,LG에너지솔루션,미국주식,"386,297원","386,297원","386,297원",,,,,,,,"362,159원","362,159원","394,141원","394,141원","394,141원","394,141원",,,1:1.45,1:1.45,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.0,0.0,0.0,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-47.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,DL이앤씨,관망 우위,-,-,실시간 미적용,학습기록 부족,-,0,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 0.00% / 네이버 수급 데이터 확인 제한,0,4,0,성과보정 약함,21주,"1,749,657원","1차 83,317원 30% / 2차 79,151원 30% / 3차 84,567원 40%","82,567원",3.06%,"67,179원",손절 리스크 한도 기준,3.62,"83,317원","46,659원","81,780원 ~ 83,797원","94,892원 ~ 97,431원",-1.77%,-3.01%,"80,118원",+3.84%,"94,892원",+13.89%,"97,431원","84,818원","75,992원 ~ 91,004원",정상,주문기준 정상범위,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 4.9% 이내,대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-2.80%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-2.80%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",DL이앤씨,DL이앤씨,DL이앤씨,DL이앤씨,DL이앤씨,DL이앤씨,DL이앤씨,미국주식,"73,504원","73,504원","73,504원",,,,,,,,"69,810원","69,810원","78,979원","78,979원","78,979원","78,979원",,,1:1.77,1:1.77,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,5.0,5.0,5.0,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-49.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,삼성전자,관망 우위,-,-,실시간 미적용,학습기록 부족,-,2,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 95.00% / 네이버 수급 데이터 확인 제한,0,5,0,성과보정 약함,7주,"1,929,606원","1차 275,658원 30% / 2차 261,875원 30% / 3차 279,793원 40%","273,177원",1.73%,"49,861원",투입금액 한도 기준,1.91,"275,658원","167,917원","274,512원 ~ 277,855원","289,295원 ~ 294,843원",-0.20%,-1.20%,"268,535원",+2.58%,"289,295원",+4.95%,"294,843원","276,210원","257,636원 ~ 292,687원",정상,주문기준 정상범위,지지존 기반: 단기 보통 지지존 상단/중심 근사 / 예상시초가 기준 3.3% 이내,RSI 75 이상 과열 | 대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.38%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.38%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",삼성전자,삼성전자,삼성전자,삼성전자,삼성전자,삼성전자,삼성전자,미국주식,"274,457원","274,457원","274,457원",,,,,,,,"245,034원","245,034원","295,278원","295,278원","295,278원","295,278원",,,1:2.34,1:2.34,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,8.8,8.8,8.8,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-50.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,현대차,관망 우위,-,-,실시간 미적용,학습기록 부족,-,0,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 2.30% / 네이버 수급 데이터 확인 제한,0,4,0,성과보정 약함,1주,"628,411원","1차 628,411원 30% / 2차 596,990원 30% / 3차 637,837원 40%","622,755원",4.99%,"35,260원",손절 리스크 한도 기준,1.95,"628,411원","545,646원","598,557원 ~ 610,677원","697,230원 ~ 712,485원",-3.90%,-2.72%,"593,151원",+5.61%,"697,230원",+10.95%,"712,485원","653,946원","618,183원 ~ 720,700원",정상,주문기준 정상범위,지지존 기반: 단기 강함 지지존 상단/중심 근사 / 예상시초가 기준 3.9% 이내,RSI 75 이상 과열 | 대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",현대차,현대차,현대차,현대차,현대차,현대차,현대차,미국주식,"588,363원","588,363원","588,363원",,,,,,,,"555,485원","555,485원","642,637원","642,637원","642,637원","642,637원",,,1:2.14,1:2.14,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,7.5,7.5,7.5,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-50.2,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,SK하이닉스,관망 우위,-,-,실시간 미적용,학습기록 부족,-,2,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 95.00% / 네이버 수급 데이터 확인 제한,0,0,0,성과보정 약함,-,0원,"1차 1,750,815원 30% / 2차 1,663,274원 30% / 3차 1,777,077원 40%","1,735,058원",7.14%,0원,계좌/리스크 한도상 매수 단위 0,1.51,"1,750,815원","806,097원","1,062,856원 ~ 1,103,073원","1,948,953원 ~ 1,989,170원",-3.62%,-4.59%,"1,619,385원",+7.51%,"1,948,953원",+11.32%,"2,033,390원","1,816,650원","1,682,027원 ~ 1,936,073원",정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 3.6% 이내,RSI 75 이상 과열 | 대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.41%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.41%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",SK하이닉스,SK하이닉스,SK하이닉스,SK하이닉스,SK하이닉스,SK하이닉스,SK하이닉스,미국주식,"1,729,215원","1,729,215원","1,729,215원",,,,,,,,"1,499,933원","1,499,933원","1,968,768원","1,968,768원","1,968,768원","1,968,768원",,,1:2.55,1:2.55,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,5.5,5.5,5.5,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-50.2,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,한국전력,관망 우위,-,-,실시간 미적용,학습기록 부족,-,2,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 40.00% / 네이버 수급 데이터 확인 제한,0,0,0,성과보정 약함,47주,"1,901,855원","1차 40,465원 30% / 2차 38,442원 30% / 3차 41,072원 40%","40,101원",2.83%,"68,996원",손절 리스크 한도 기준,1.95,"40,465원","39,769원","39,226원 ~ 39,874원","43,326원 ~ 43,974원",-2.59%,-1.90%,"38,997원",+3.63%,"43,326원",+7.07%,"43,974원","41,543원","38,837원 ~ 44,707원",정상,주문기준 정상범위,지지존 기반: 중기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 2.6% 이내,대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",한국전력,한국전력,한국전력,한국전력,한국전력,한국전력,한국전력,미국주식,"36,645원","36,645원","36,645원",,,,,,,,"35,047원","35,047원","38,133원","38,133원","38,133원","38,133원",,,1:1.98,1:1.98,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,5.0,5.0,5.0,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-51.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,한국항공우주,관망 우위,-,-,실시간 미적용,학습기록 부족,-,0,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 0.00% / 네이버 수급 데이터 확인 제한,0,0,0,성과보정 약함,12주,"1,924,560원","1차 160,380원 30% / 2차 152,361원 30% / 3차 162,786원 40%","158,937원",1.70%,"49,272원",투입금액 한도 기준,1.59,"160,380원","160,348원","157,729원 ~ 160,997원","166,915원 ~ 169,806원",-1.84%,-3.33%,"156,274원",+2.56%,"166,915원",+4.07%,"169,806원","163,378원","150,933원 ~ 170,264원",정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 3.3% 이내,대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-3.20%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-3.20%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",한국항공우주,한국항공우주,한국항공우주,한국항공우주,한국항공우주,한국항공우주,한국항공우주,미국주식,"157,374원","157,374원","157,374원",,,,,,,,"148,572원","148,572원","161,661원","161,661원","161,661원","161,661원",,,1:1.45,1:1.45,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.0,0.0,0.0,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-51.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,한미반도체,관망 우위,-,-,실시간 미적용,학습기록 부족,-,0,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 1.00% / 네이버 수급 데이터 확인 제한,0,0,0,성과보정 약함,1주,"362,682원","1차 362,682원 30% / 2차 344,548원 30% / 3차 368,122원 40%","359,418원",10.79%,"38,260원",손절 리스크 한도 기준,1.57,"362,682원","303,370원","294,852원 ~ 306,479원","422,643원 ~ 434,269원",-5.09%,-3.93%,"324,422원",+10.55%,"422,643원",+16.53%,"444,941원","382,143원","357,231원 ~ 430,675원",진입가 대기,예상시초가보다 5.1% 낮음,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 5.1% 이내,RSI 75 이상 과열 | 대형 이벤트일: 변동성 확대,주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",한미반도체,한미반도체,한미반도체,한미반도체,한미반도체,한미반도체,한미반도체,미국주식,"285,344원","285,344원","285,344원",,,,,,,,"260,724원","260,724원","303,768원","303,768원","303,768원","303,768원",,,1:1.45,1:1.45,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,0.0,0.0,0.0,,,,,,,저장된 후보 기준
한국주식,2026-05-13,-54.0,관망 우위,매수금지/리스크 조건 우선,🔴,관망/제외,True,대한항공,관망 우위,-,-,실시간 미적용,학습기록 부족,-,0,재무 데이터 제한,수급 확인 제한,국장 재무 자동수집 제한 / 외국인 보유율 0.00% / 네이버 수급 데이터 확인 제한,0,0,0,성과보정 약함,82주,"1,987,598원","1차 24,239원 30% / 2차 23,027원 30% / 3차 24,603원 40%","24,021원",1.06%,"38,458원",투입금액 한도 기준,1.45,"24,239원","24,253원","23,939원 ~ 24,309원","24,737원 ~ 25,064원",-1.34%,-2.46%,"23,770원",+1.93%,"24,918원",+2.80%,"25,246원","24,569원","23,196원 ~ 25,680원",정상,주문기준 정상범위,지지존 기반: 단기 핵심 지지존 상단/중심 근사 / 예상시초가 기준 2.5% 이내,대형 이벤트일: 변동성 확대 | 손익비 부족: 1차 R:R 1.45,주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.66%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외,"보정신뢰도 50점 미만이라 신규매수 금지, 관망 우위입니다. / 매수금지: 주의사유 존재 / 앙상블 약함(0점 < 45점) / 예상중앙등락 약세(-1.66%) / 방어적 판정(관망 우위) / 매수행동이 관망/제외",대한항공,대한항공,대한항공,대한항공,대한항공,대한항공,대한항공,미국주식,"24,567원","24,567원","24,567원",,,,,,,,"23,397원","23,397원","25,323원","25,323원","25,323원","25,323원",,,1:1.79,1:1.79,,,0.0,0.0,0.0,0.0,실적 데이터 없음,실적 데이터 없음,실적 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,밸류 데이터 없음,5.5,5.5,5.5,,,,,,,저장된 후보 기준
