시장,항목,행수,상태,설명
국장,후보 원천,2,정상,v79 후보/수급/기업분석에서 v80 분석 대상을 구성
국장,재무/KPI,2,정상,DART/Finnhub 응답을 기반으로 가치·성장·안정성 점수 계산
국장,수급·거래대금,0,확인 필요,v79에서 복구한 수급·거래대금 후보
국장,뉴스,8,정상,일반 화면에는 3줄 요약만 표시
국장,API 키,7,인식,"{""DART_API_KEY"": true, ""FINNHUB_API_KEY"": true, ""GNEWS_API_KEY"": true, ""APIFY_TOKEN"": true, ""SEC_USER_AGENT"": true, ""KIS_APP_KEY"": true, ""KIS_APP_SECRET"": true}"
국장,후보 원천,4,정상,v79 후보/수급/기업분석에서 v80 분석 대상을 구성
국장,재무/KPI,4,정상,DART/Finnhub 응답을 기반으로 가치·성장·안정성 점수 계산
국장,수급·거래대금,0,확인 필요,v79에서 복구한 수급·거래대금 후보
국장,뉴스,8,정상,일반 화면에는 3줄 요약만 표시
국장,API 키,4,인식,"{""DART_API_KEY"": true, ""FINNHUB_API_KEY"": true, ""GNEWS_API_KEY"": true, ""APIFY_TOKEN"": false, ""SEC_USER_AGENT"": true, ""KIS_APP_KEY"": false, ""KIS_APP_SECRET"": false}"
